feature,importance
driver_career_top10_rate,0.16380482466675442
grid_position,0.1084950183200179
constructor_career_top10_rate,0.10309616254520722
driver_avg_points_recent,0.08427548747238985
constructor_avg_points_recent,0.0796461512354831
driver_top10_rate_recent,0.05930009111769347
driver_career_dnf_rate,0.051627665677453666
constructor_top10_rate_recent,0.03888061179177209
driver_career_races,0.03209621346053888
qualifying_position,0.03167714610035619
driver_avg_positions_gained_recent,0.029178988029113676
started_top_10,0.027274208079447786
driver_career_wins,0.026266416662047525
circuit_avg_dnf_rate,0.022790716214067086
constructor_career_entries,0.021025136461885783
constructor_career_dnf_rate,0.02012975045812883
circuit_times_hosted,0.017646666708750907
driver_dnf_rate_recent,0.017601960122791225
constructor_dnf_rate_recent,0.01686240262257523
driver_top10_rate_at_circuit,0.012551786501150242
driver_races_at_circuit,0.011747344638725007
started_top_5,0.009420462250372059
driver_dnf_rate_at_circuit,0.009092285223486256
driver_races_in_window,0.005512503639791675
